,unemployment,coincident,leading_price,ESI,export_price,current_account,GDP,land_price_change,CCSI,manufacturing_capacity_utilization,us_policy_rate,kosdaq_index,capital_account,us_industrial_production,us_consumer_sentiment,us_CPI,economic_growth_rate,interest_rate,pred,datetime
0,3.3,102.5,101.2,112.3,111.27,-688.7,351166.0,0.368,74.0,116.0,3.0,608.84,-0.9,-0.1,78.4,4.1,0.8,5.0,,08-Jan
1,3.5,102.5,100.6,114.7,112.58,-2235.2,351166.0,0.393,74.0,100.6,3.0,655.94,1.5,-0.4,70.8,4.1,0.8,5.0,,08-Feb
2,3.4,102.4,100.2,107.3,119.74,972.5,351166.0,0.465,74.0,118.2,2.25,644.45,-3.8,-0.3,69.5,4.1,0.8,5.0,,08-Mar
3,3.2,102.1,100.0,109.0,122.64,-2386.5,369200.0,0.508,74.0,117.7,2.0,647.02,-0.2,-0.7,62.6,4.4,0.4,5.0,,08-Apr
4,3.1,101.8,99.7,104.1,131.5,-1737.8,369200.0,0.481,74.0,116.2,2.0,652.15,9.3,-0.6,59.8,4.4,0.4,5.0,,08-May
5,3.1,101.3,99.3,99.3,132.99,-1143.0,369200.0,0.473,74.0,113.8,2.0,590.19,5.1,-0.3,56.4,4.4,0.4,5.0,,08-Jun
6,3.1,101.0,98.8,93.8,133.13,-2261.7,369270.0,0.425,74.0,112.2,2.0,539.44,24.1,-0.5,61.2,5.3,0.7,5.0,,08-Jul
7,3.1,100.8,98.6,102.4,131.22,-3845.0,369270.0,0.426,92.0,103.7,2.0,470.28,-8.3,-1.6,63.0,5.3,0.7,5.25,,08-Aug
8,3.0,100.7,98.4,98.5,137.27,1469.0,369270.0,0.322,91.0,106.3,2.0,440.77,7.6,-4.4,70.3,5.3,0.7,5.0,,08-Sep
9,3.0,100.4,98.0,82.7,147.88,3904.5,372696.0,0.04,78.0,117.1,1.0,308.03,-1.4,1.0,57.6,1.6,-3.4,4.25,,08-Oct
10,3.0,99.7,97.5,71.4,142.96,2761.1,372696.0,-1.44,73.0,100.5,1.0,307.48,-0.7,-1.3,55.3,1.6,-3.4,4.0,,08-Nov
11,3.3,98.5,97.2,61.2,136.62,6943.8,372696.0,-2.725,68.0,89.6,0.125,332.05,-5.9,-2.8,60.1,1.6,-3.4,3.0,,08-Dec
12,3.6,97.8,97.0,68.0,131.97,175.8,343864.0,-0.756,75.0,82.9,0.125,364.9,-7.2,-2.5,61.2,0.0,0.3,2.5,,09-Jan
13,3.9,97.6,97.4,70.6,138.34,5013.0,343864.0,-0.352,77.0,89.7,0.125,363.21,2.7,-0.6,56.3,0.0,0.3,2.0,,09-Feb
14,4.0,97.7,97.9,73.4,140.61,5786.0,343864.0,-0.093,73.0,103.0,0.125,421.44,-8.0,-1.6,57.3,0.0,0.3,2.0,,09-Mar
15,3.8,97.8,99.0,91.1,132.11,3139.2,364474.0,0.066,94.0,105.8,0.125,500.98,-1.6,-0.8,65.1,-1.2,1.4,2.0,,09-Apr
16,3.8,97.8,99.6,96.3,126.16,2329.4,364474.0,0.115,105.0,104.9,0.125,528.8,-4.9,-1.0,68.7,-1.2,1.4,2.0,,09-May
17,3.8,98.5,100.4,99.4,128.57,4064.7,364474.0,0.166,108.0,110.6,0.125,485.15,-0.4,-0.3,70.8,-1.2,1.4,2.0,,09-Jun
18,3.7,98.6,100.6,100.5,129.49,1987.7,373199.0,0.206,110.0,111.1,0.125,504.35,-2.4,1.2,66.0,-1.6,3.1,2.0,1.99572,09-Jul
