datetime,unemployment,employment,coincident,leading_price,business_survey,ESI,industrial_production,capital_investment,CPI,monetary_base,broad_money,export_price,terms_of_trade,export_value,current_account,retail_sales,GDP,GDP_deflator,employment_rate,labor_force_participation_rate,credit_card_spending,housing_price,rental_price,land_price_change,CCSI,manufacturing_production,manufacturing_output,manufacturing_capacity_utilization,service_production,us_policy_rate,CPI_consumer_price,PPI,financial_institution_liquidity,broad_liquidity,deposit_rate,loan_rate,total_deposits,loans_outstanding,kospi_index,kosdaq_index,import_price,terms_of_income_trade,import_value,trade_balance,capital_account,financial_account,us_retail_sales,us_industrial_production,us_consumer_sentiment,us_GDP,us_CPI,household_credit,economic_growth_rate,summary,news_title,news_sentiment
08-Jan,3.3,"23,141",102.5,101.2,83.0,112.3,77.7,68.6,79.47,"50,260.50","1,286,407.80",111.27,111.25,"32,275",-688.7,71.0,"351,165.70",80.6,58.6,60.5,"26,205,579",73.2,64.2,0.368,74.0,78.9,78.1,116.0,78.0,3.0,81.18,87.48,"1,711,196.80","2,061,328.90",6.01,7.25,"598,429.40","815,649.10","1,624.68",608.84,101.74,59.89,"36,318","-4,043",-0.9,"-1,881.20",0.3,-0.1,78.4,-1.7,4.1,"677,198.70",0.8,통화정책방향 한국은행 보도자료콜금리 목표를 현 수준 연 에서 유지하기로 의결하였음 붙임 참조 향후 경기흐름의 불확실성은 여전 히 높은 상황임 지속되는 가운데서도한다만,"[2008 신년특집] 국내총생산 비중 5년후 30% 주력산업 부상 올 명목 GDP 1조달러 돌파 전망 올해 우리나라 GDP 1조달러 돌파 전망 수백억대 도난 수표 유통 금호건설, 66층 초고층 ''리첸시아 중동'' 주상복합 분양 수입물가 큰 폭 상승..교역조건 급격히 악화 [통계로 읽는 세상](6)경제성장률의 함정 한국은행, 12월 수입물가 상승률 15.6% [이코노트랜드] 100달러 찍은 국제유가 물가 타격 쌈채·양채류 소비 ‘꽁꽁’ … 예년 시세 밑돌아 물가 불안보단 '경기 둔화' 대응에 무게 [포커스] ""아파트 계약률 높여라"" 아이디어 봇물 이명박시대 부동산투자 新 5대법칙 사립대 4년 등록금 평균 3000만원 10년새 70%↑…물가 크게 웃돌아 한은 시장국장 ""물가·경기 위험 동등한 상태"" 북유럽 영어교육의 기본은 `TEE` [뷰포인트]일본의 디플레이션은? 작년 경제성장률 4.9%..4분기 1.5% 중국 광둥성 경제규모 대만 앞섰다 - 조선비즈 너무 비싼 서울 `물가`에 외국인도 놀라 1인당 소득 2만弗 시대 한국의 모습은… (이데일리폴)②1월 CPI 전문가별 코멘트 잘사는 10%가 국내 순자산〈총자산-총부채〉 54% ‘독식’",1.2173913043478262
08-Feb,3.5,"23,065",102.5,100.6,83.0,114.7,73.2,66.0,79.77,"52,563.70","1,309,161.70",112.58,110.11,"31,178","-2,235.20",71.0,"351,165.70",80.6,58.3,60.4,"23,965,348",73.5,64.5,0.393,74.0,69.4,68.5,100.6,75.3,3.0,81.4,88.29,"1,726,407.20","2,086,887.50",5.4,6.9,"605,714.80","822,528.90","1,711.62",655.94,104.5,55.28,"32,624","-1,446",1.5,"-2,244.90",-0.9,-0.4,70.8,-1.7,4.1,"677,198.70",0.8,한국은행 보도자료콜금리 목표를 현 수준 연 에서 유지하기로 의결하였음 붙임 참조 국제금융시장 불안미국 경제 부진 등으로 향후 경기흐름에 대한 불확실성이 높아진 상황임 세계경제 및 이,"“서민 물가부담 최소화”…5일 대책회의 한국 ‘질적’ 실업률 11.6%, 공식 실업률의 4배 소비자물가 상승률 4%대 육박 2004년 9월 이후 최고 재무비율 통해 고객재정 파악한다 꼭 알아야 할 ESC 조정 핵심 [대학등록금 1000만원 시대]32년간 물가 8배 뛸때 등록금은 26배 ‘껑충’ 정부,교육비 인상 조짐 집중 감시 외국인 고용 두배되면 GDP 0.3%P 증가 서비스업 비중 커졌으나 성장은 제조업이 주도 최근3년 경제활동참가율 '뚝' ""금융통화당국, 유동성관리 실패 시말서 제출"" GDP대비 주택값, 홍콩＞서울＞도쿄＞런던順 원재료·중간재 물가 IMF 이후 최고수준 라면값 인상의 원인이 서브프라임 사태라고? 원재료 물가 10년만에 최고 한국 아직 괜찮다지만…경기하강 우려 이명박號 앞날 밝지만은 않다 [유혜경의 NIE] (66) 인플레이션으로 본 경제",1.2222222222222223
08-Mar,3.4,"23,490",102.4,100.2,81.0,107.3,80.5,77.6,80.52,"49,571.50","1,324,032.70",119.74,108.71,"35,992",972.5,71.0,"351,165.70",80.6,59.3,61.4,"26,058,945",74.3,65.0,0.465,74.0,80.1,79.9,118.2,81.1,2.25,82.45,89.44,"1,743,481.70","2,094,706.70",5.33,6.9,"603,720.00","833,537.30","1,703.99",644.45,113.03,64.04,"37,111","-1,119",-3.8,"-1,093.90",0.2,-0.3,69.5,-1.7,4.1,"677,198.70",0.8,통화정책방향 금융통화위원회는현재의 콜금리 목표와 같 은 국제금융시장 불안 등의 영향으로가 높은 변동성을 나타내고 있 으며 부동산가격은 하락하고 있으며,"""물가상승률 연동해 학원수강료 인하"" [Seoul In] ‘우리 동네 물가 지킴이’ 운영 부산 - 서울 물가 차이 얼마나 나나 인플레이션…구매력 떨어져 근로자 의욕 감퇴 올해 외식물가 상승률 1위는 자장면 새농정, 이것만은 해결하자 ① 농가부채 대책 ‘물가 억제’보다 ‘성장 관리’…기획재정부 첫 업무보고 글로벌 인플레 ""약달러 가속화 주범"" [분양정보] 교하 윈슬카운티 98가구 [경제교실] 교역조건 악화로 생산보다 소득 낮아져 편리한 타운 정원있는 하우스 그리고 대단지 당국 ""환율아 더 올라라..다만 천천히"" 원·달러 환율 상승 득실은 - 조선비즈 [그래픽으로 보는 오늘의 뉴스] 한국 물가상승률 OECD 회원국 중 높은편 (미리보는 경제신문)`생필품 50개`로 서민물가지수 만든다 50개 품목 국가관리 [경제교실] 국가경제력 43%가 서울·경기에 편중 ‘계층별 물가’ 통계가 더 급하다 1인당 소득 ‘2만달러’ 넘어서 노무현 성장률, 지금은 비웃지만… '물가보다 경기'..금리 이틀째 하락 교사 월급 많이 줘서 아까운가? 살인적 물가… 독한 구매로 맞짱 52개품목 가격 관리, ‘70년대식 물가잡기’ 실효성 의문 MB, 물가안정 강조에 시장금리↑ (표)물가관리 52개 생필품, 뭐가 포함됐나 “美 서브프라임 최악상황 지났다” [사설] 생필품 52개로 물가 잡겠다는 발상 국민소득 2만달러 시대, 왜 우리는 가난한가 민주, ""50개 생필품 관리하면 물가 잡히나"" 中통계국 ""인플레이션 위험 여전""",1.1612903225806452
08-Apr,3.2,"23,907",102.1,100.0,85.0,109.0,79.4,76.0,80.96,"50,683.60","1,339,434.90",122.64,106.96,"37,850","-2,386.50",71.2,"369,200.50",81.7,60.3,62.3,"26,317,834",75.2,65.5,0.508,74.0,79.0,79.3,117.7,79.5,2.0,83.04,91.34,"1,762,945.30","2,144,499.20",5.45,6.91,"617,436.60","849,091.30","1,825.47",647.02,117.32,63.28,"38,260",-410,-0.2,"-2,647.50",0.0,-0.7,62.6,2.4,4.4,"698,226.90",0.4,통화정책방향 금융통화위원회는로 하 였음 붙임 참조 이었음 외환은행 보도자료,"스태그플레이션 현실화 하나…생활물가 4.9% ‘뜀박질’ 물가상승률 3.9%…6개월째 3%대(상보) 지금 당신은 행복하십니까? 행복은 소득순이 아닙니다 미국의 ‘70년대 불황’에서 얻는 교훈…실물자산 투자 매력 ""기획재정부는 물가인상기획부다"" [Metro] 지방행정연수원 ‘물가관리 교육’ “물가인상시 유흥비 가장 먼저 줄이겠다”, 29.8% KDI, ""국내 경기 완만한 둔화…물가 압력은 지속"" 장애인을 잘라야 경제가 좋아지나요? 한국 근로시간 OECD 최고..삶의 질은 바닥 물가 상승 ‘고삐 죈다’…정부, 52개 생필품값 집중관리 아일랜드 경제 침체…20년 만에 최저 성장 한은 무게중심, '물가→경기' 이동? 참여정부의 경제 성적은 양호했다? 서브프라임 `강펀치` 가시지 않는 충격 한은 금리 인하 4월 물가에 달렸다 3월 수입물가 28% 상승..9년만에 최고 中 3월 생산자물가 8.0%…예상 상회(1보) 20대 남·여 고용률 첫 역전…여성이 1.2%P 앞서 59.4% 20대 남성 ‘눈높이 낮추느니 차라리 백수’ 중국 주재 한국인들, 물가상승ㆍ위안화 강세로 시름 한국 경제규모 인도에 밀려 13위 명목 GDP 매년 한단계씩 추락 비정규직도 보금자리론 받는다 [다민족 다문화 사회] 해외에서 배운다-⑮프랑스 경기 급랭에 ‘전방위 부양책’ 우려…1분기 GDP 성장률 3년3개월만에 최저 요즘 돈이 너무 많이 풀려 물가 더 자극한대요 고유가가 1분기 경제성장 `발목` 유호정 “남편 이재룡, 물가에 내놓은 아이 같아” ''다빈치 낙하산'' 500년 만에 입증 美 세금 환급 시작, 경기부양 실효는 의심",1.2258064516129032
08-May,3.1,"24,144",101.8,99.7,82.0,104.1,79.9,73.2,81.63,"50,502.50","1,356,612.90",131.5,105.48,"39,383","-1,737.80",71.2,"369,200.50",81.7,60.8,62.7,"26,689,962",75.9,65.8,0.481,74.0,79.0,79.3,116.2,80.6,2.0,83.86,93.18,"1,782,721.10","2,168,497.70",5.39,6.96,"622,487.40","858,336.10","1,852.02",652.15,129.85,61.66,"38,704",679,9.3,"-2,278.40",0.9,-0.6,59.8,2.4,4.4,"698,226.90",0.4,금융통화위원회는한국은행 기준금리를 현 수준에서 유지 하기로 하였음 최근,"경유·휘발유 등 물가상승 기여 높아 소비자물가 4.1% 급등, 3년8개월래 최고 (미리보는 경제신문)생산자물가 9.7% 급등 [아파트 리모델링] 절차는 간단…증축면적·가치 잘 따져야 국제유가 10%상승시 GDP 0.3%p하락 美소비 선전..물가는 유가 위력 절감 리먼브러더스 7대 정책 제안 한국보고서 발간 한국 GNI 세계 51위…GDP도 러시아에 밀려 1인당 국민소득 세계 51위로 밀려 1분기 인구이동 3.2% 감소 세계경제 '유(油)탄' - 조선비즈 [아하! 그렇구나 세계지리] 세계에서 가장 잘 사는 나라 룩셈부르크 2006년 국민 1인당 '의료비로 113만원 썼다' [현장탐방] 반포자이/넓은 내부..車소음 없어 한·중 FTA 체결되면 GDP 최고 3.2% 늘어 삼성硏, 하반기 경제성장률 3.8%로 하향 하반기 물가 상승..",1.1764705882352942
08-Jun,3.1,"24,174",101.3,99.3,76.0,99.3,78.9,74.3,82.15,"51,274.40","1,369,728.10",132.99,102.37,"37,259","-1,143.00",71.2,"369,200.50",81.7,60.8,62.7,"26,236,769",76.8,66.2,0.473,74.0,77.2,77.4,113.8,79.6,2.0,84.68,94.67,"1,798,774.90","2,178,428.70",5.5,7.02,"627,929.90","870,377.10","1,674.92",590.19,133.35,58.08,"37,828",-569,5.1,-52.3,0.1,-0.3,56.4,2.4,4.4,"698,226.90",0.4,금융통화위원회는한국은행 기준금리를 현 수준에서 유지 하기로 하였음 최근,"“美물가 연평균 3.4% 상승” 5∼10년 인상치 美국민 설문 ""러시아, 인플레가 성장 위협할 것""-IMF [취임 100일]국가체질을 바꾸다-대처 前 영국총리 잘못 낀 첫단추 고환율 정책 ‘물가잡기’ 일환 규제완화 등 적극 검토 中 금리 올해 0.5% 인상해야-피치 [경제교실]환율과 물가의 상관관계 세계는 지금 `인플레 전쟁` [테마진단] 고환율정책의 득과 실 ""고유가 대책이 인플레 키운다"" 물가 고공 행진 속에 “자장면값 500원 내립니다” 생산자물가 20년전 오일쇼크 근접 [건국 60주년 한국경제 어제와 오늘] 고용과 실업 [그래픽 뉴스]중국 소비자물가 상승률 추이 美 5월 소비자물가지수 0.6%↑..예상상회 뉴욕, 반등다운 반등 '유가하락, 물가안도' 물가 상승기엔 할인점이 투자 유망-유진 5월 원재료 물가 80% 폭등...조사 시작 이후 가장 높아 북한경제 2년 연속 마이너스 성장 白공정 ""물가상승 국면, 담합 집중감시"" 오일쇼크 후폭풍 더 무섭다 ""대졸 별볼일 없네""..고용률 OECD 최하위권 MB, 경제정책 '물가 안정'에 방점 '쐐기' 치솟는 물가에 `경제 살리기` 탄력 받을 듯 [李대통령 특별회견] 서민생활·물가안정에 최우선 중국, 기름값 16 ~ 18% 전격 인상 남양주 `호평 파라곤`…서울 접근 교통망 확 넓혀 서민경제에 직격탄 날린 고환율정책 ""물가 안정이 시급한 때 747공약 집착 버려야"" 한은, 물가잡기 우회전략 쓰나 정부, 올해 물가.성장률 모두 4%대 예측 [글로벌 포커스] 'S의 공포'… 세계 경제 70년대 회귀? 베트남 총리 ""6월 물가압력 다소 완화"" ‘성별 양극화’ 해결해야 GDP 2만불 시대 된다 고물가·저성장…세계 ‘스태그플레이션 공포’ 커진다 [심층분석] 폭등하는 물가·개방 논란… 국민고통은 100년 전과 똑같았다 스태그플레이션 시대 성공 재테크 이번엔 환율 끌어내리기 … 정부가 시장혼란 부추긴 셈 [FX Comment]""중앙은행 중기목표,물가안정""",1.2307692307692308
08-Jul,3.1,"24,114",101.0,98.8,75.0,93.8,78.8,73.8,82.75,"50,600.60","1,378,914.30",133.13,100.57,"40,961","-2,261.70",69.3,"369,270.00",83.3,60.6,62.5,"28,355,169",77.4,66.5,0.425,74.0,77.1,77.0,112.2,79.6,2.0,85.21,96.52,"1,801,540.60","2,186,811.80",5.67,7.12,"623,796.10","883,185.60","1,594.67",539.44,134.79,61.11,"42,952","-1,991",24.1,12.2,-0.4,-0.5,61.2,-2.1,5.3,"713,289.60",0.7,금융통화위원회는한국은행 기준금리를 현 수준에서 유지 하기로 하였음 최근 한편 부동산가격의 상승세는 제한되고 있음 주식시장에서는 를 지속하였으나,"‘성장은 전두환, 물가는 노무현’ 6월 소비자물가 5.5% 급등..10년래 최고(종합) 과자에 속이 썩는다 몰려오는 '경제 먹구름' [사설] 물가·민생 안정에 MB정부 명운 걸어라 물가보다 '일자리'가 더 심각하다 달러 환산 경제규모 ‘뒷걸음질’…11년만에 마이너스 가능성 강만수 “물가·민생 안정최선” 인플레이션 고통 심하다는데 환율ㆍ금리 처방 먹힐까? 최악으로 치닫는 경제지표들 결혼식에 앞서 유재석의 메뚜기 춤 품목별 소비자물가 상승률 'TIPS 제기능 못한다' 되돌아 본 79년 이후 경제 위기 6월 취업자 증가 15만명 하회(종합2보) 세계증시 4대 난제 ""美 1년치 GDP 증발"" [쉽게 풀어쓴 경제사] 경제의 독버섯 `인플레이션` 6월 원자재가격 상승률 92.5% 네덜란드 ''물가의 마법'' 서울우유, 정부 물가억제 정책 역행 쉽게 풀어쓴 경제이야기 물가안정목표제 중-러 국경분쟁 ''해결'', 러시아 섬 절반 반환 삼성硏, ""하반기 스태그플레이션 대비해야"" 삼성경제연구소, ‘스태그플레이션 진단과 정책대응’ 상반기 소주·맥주 등 소비량 증가 2분기 경제성장률 4.8%..소비 4년來 최악(종합) 수출-내수 양극화..`반쪽 성장' 우려 수출-내수 격차 사상 최대 스태그플레이션, 70년대 해법으론 어림없다 [테마진단] 스태그플레이션과 골디락스 경제 물가 올인 정부, 약발 안먹혀 '속앓이'",1.3225806451612903
08-Aug,3.1,"23,825",100.8,98.6,73.0,102.4,76.3,70.0,82.6,"51,981.00","1,386,101.10",131.22,99.02,"36,611","-3,845.00",69.3,"369,270.00",83.3,59.8,61.7,"25,690,791",77.7,66.7,0.426,92.0,72.6,72.3,103.7,78.9,2.0,84.83,96.24,"1,810,535.10","2,210,709.60",5.91,7.31,"635,728.30","891,376.30","1,474.24",470.28,128.86,52.64,"40,420","-3,809",-8.3,"-3,316.70",-0.7,-1.6,63.0,-2.1,5.3,"713,289.60",0.7,금융통화위원회는 부동산시장에서는 부동산가격의 상승세는 제한되고 있음,"국민총소득 순위 또 하락 13위… GDP는 13위 머물러 GNI순위도 2년 연속 뒷걸음질…작년 9558억弗 ‘MB물가’ 고통 끝이 안 보인다…지난달 소비자물가 급등 7월 소비자물가 5.9% 급등..10년來 최고-2(끝) 국민총소득 순위 2년연속 하락 물가 뛰니 금리인상론 `무게` 실린다 `빌바오효과` 아세요? 물가폭등에 실질금리 ‘0’ 실질금리 0% … 세금 빼면 ‘마이너스’ 소비심리 꽁꽁..7년7개월만에 최악 작년 GNI 세계 13위…한단계 하락 정부, 유통구조 고쳐 高물가 잡는다 中 7월 소비자물가 6.3% 올라(종합) 원·달러 환율 상승하면서 물가부담 우려 커져 [그래픽 뉴스]중국 소비자물가지수(CPI)추이 재정차관 ""하반기 물가 다소 안정될 듯"" 생산자물가 상승률 OECD 최고수준…환율상승 영향 일본경제 마이너스 성장 인구 2.4배↑..GDP 746배↑ 건국이후 60년 동안 GDP 연평균 6.8% 성장 60년 한국 경제기적을 이끈 기업들 한국 연간 물가상승률 4.6→5.2%상향-DBS [통계 뒤집어 보기] 행복은 국민소득 순과 달라 임태희 ""부동산대책에 금융완화 포함안돼"" 검단신도시 주변. 오산 세교, 신도시로 추가 지정 수도권 주택 전매제한 1-7년으로 완화 올림픽 ‘골짜기 효과’ 피할수 없다? 高물가에 지갑닫은 국민..소비위축 심각하네 ■ 8·21부동산 활성화 대책 도내 건설업계 반응 中경제 감속운행 내년 성장률 7~10% 예상 [이젠 국격을 높이자] 국민행복 수준이 핵심 장ㆍ차관 및 자치단체장, 합동 추석물가 현장점검 (이데일리폴)③8월 CPI, 전문가별 코멘트 강만수 ""유가하락 영향..물가 6% 안넘을 것""",1.3529411764705883
08-Sep,3.0,"23,936",100.7,98.4,73.0,98.5,78.8,65.8,82.67,"53,303.90","1,395,719.20",137.27,101.29,"37,428","1,469.00",69.3,"369,270.00",83.3,60.0,61.8,"27,240,601",78.1,67.1,0.322,91.0,74.3,74.4,106.3,79.6,2.0,84.61,95.85,"1,831,313.40","2,210,834.40",6.05,7.44,"645,955.90","900,567.80","1,448.06",440.77,131.84,57.27,"39,528","-2,100",7.6,21.5,-1.5,-4.4,70.3,-2.1,5.3,"713,289.60",0.7,통화정책방향 금융통화위원회는 였음 최근 국내 금융시장 동향에 비추어 볼 때 부동산시장에서는 부동산가격의 상승세는 제한되고 있음,"가계부채 환란때 3배인데 금감원, 외환딜러 위법매매 조사 검토(종합) 매케인-오바마, 유세 2파전…경제 논쟁 후끈 한총리 ""대운하 끝난 것으로 알고 있다"" 행안부 차관, 대전 방문해 물가점검 8월 생산자물가 12.3%..고공행진 지속 한국은행, 물가 안정보다는 경기 방어에 베팅 한은 총재 ""통화당국, 물가 최우선하지만 경제성장에도 관심"" 수입물가 1년2개월 만에 하락 SK건설, `동백 아펠바움` 타운하우스 분양 [한국경제 어제와 오늘] 빅맥지수 한국 와인.청바지 高물가 [부동산 특집]자연·사람·집의 공존…“타운하우스에 살고파” 美 2Q GDP 성장률 확정치 2.8%...예상 하회(상보) 장애인 30% 고용 '자회사형 표준사업장' 가보니…",1.0666666666666667
08-Oct,3.0,"24,045",100.4,98.0,64.0,82.7,79.2,68.2,82.6,"52,976.50","1,403,984.20",147.88,103.14,"37,111","3,904.50",70.4,"372,695.70",83.4,60.2,62.1,"27,619,023",78.1,67.2,0.04,78.0,79.1,79.2,117.1,79.7,1.0,84.39,95.59,"1,845,717.70","2,223,233.50",6.31,7.79,"667,671.60","913,084.40","1,113.06",308.03,137.25,59.25,"36,099","1,012",-1.4,"1,366.00",-3.8,1.0,57.6,-8.5,1.6,"723,521.50",-3.4,금융기관에 대한 여수신이율을 개정 하여 한국은행의 총액한도대출 금리를 인하하고 붙임 참조 부동산시장에서는 주택가격의 상승세는 제한되 고 있음,"소비자물가 5.1% 상승..2개월째 둔화(종합2보) 재정차관 ""물가안정 우선정책 변함없다"" 5% 물가상승률 속 점점 오르는 신촌 방값 美대공황 다시 올까 …학자들 “조정 국면” 국민들 “가능성 충분” 英 최대 500억파운드 공적 자금 투입 잘 나가던 유럽 작은富國의 몰락 민간연구소, 물가·가계부채 '낙관'(상보) 전국 지자체 총자산 845조…총부채 30조 이번엔 하이퍼인플레?..구제금융의 `덫`되나 '아직 진짜바닥 아니다' 46년전 우리보다 잘 살았던 필리핀? 멍든 미시간 경제, GM-크라이슬러 합병에 떤다 주택 투기지역 대거 해제...건설업체 무더기 퇴출 추진 정부, 건설사에 9조원 안팎 자금 지원 野, 부동산대책에 부정적…""투기잔치 우려"" [매경포럼] `테일러 원칙` 붕괴와 韓銀 10.21 대책, CD 금리인하가 관건-우리투자證 3분기 경제성장률 3.9%로 하락 '금융위기 주범' 그린스펀, 때늦은 반성 재정부, 적자예산 전환작업 착수 80년대 초 물가高 잡은 전두환 리더…“경제는 당신이 대통령이야” 김재익 구상에 힘 실어줘 저우샤오촨 ""中 경제 글로벌 침체 영향 받을 것"" 나빠지는 경제 상황 ‘의료채권’ 발목 잡나 지하경제 규모 181조…GDP 20% 수준 부동산 대출·재건축 규제 추가 완화 검토 (궁금해요)리세션과 디프레션, 뭐가 다른데? 79년전 오늘 ‘대공황’에서 배운다 자금난 C&그룹 '워크아웃' 위기 - 조선비즈 日 9월 물가압력 완화..금리인하 결정에 도움 로마시대 싹튼 버블경제, 21세기를 농락하다",1.2
