,summary,source_file
0,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 통화정책방향 한국은행 보도자료콜금리 목표를 현 수준 연 에서 유지하기로 의결하였음 붙임 참조 향후 경기흐름의 불확실성은 여전 히 높은 상황임 지속되는 가운데서도한다만,2008_국문보도자료(0801).pdf
1,년 월 일 공보 통화정책방향 한국은행 보도자료콜금리 목표를 현 수준 연 에서 유지하기로 의결하였음 붙임 참조 국제금융시장 불안미국 경제 부진 등으로 향후 경기흐름에 대한 불확실성이 높아진 상황임 세계경제 및 이,2008_국문보도자료(0802).pdf
2,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 붙임 참조 통화정책방향 금융통화위원회는현재의 콜금리 목표와 같 은 국제금융시장 불안 등의 영향으로가 높은 변동성을 나타내고 있 으며 부동산가격은 하락하고 있으며,2008_국문보도자료(0803).pdf
3,보 도 자 료 년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 통화정책방향 금융통화위원회는로 하 였음 붙임 참조 이었음 외환은행 보도자료,2008_국문보도자료(0804).pdf
4,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 금융통화위원회는한국은행 기준금리를 현 수준에서 유지 하기로 하였음 최근,2008_국문보도자료(0805).pdf
5,보 도 자 료 년 월 일 공보 금융통화위원회는한국은행 기준금리를 현 수준에서 유지 하기로 하였음 최근,2008_국문보도자료(0806).pdf
6,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 금융통화위원회는한국은행 기준금리를 현 수준에서 유지 하기로 하였음 최근 한편 부동산가격의 상승세는 제한되고 있음 주식시장에서는 를 지속하였으나,2008_국문보도자료(0807).pdf
7,보 도 자 료 년 월 일 공보 년 월 일부터 시행키로 하였음 아울러 금융통화위원회는 부동산시장에서는 부동산가격의 상승세는 제한되고 있음,2008_국문보도자료(0808).pdf
8,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 통화정책방향 금융통화위원회는 였음 최근 국내 금융시장 동향에 비추어 볼 때 부동산시장에서는 부동산가격의 상승세는 제한되고 있음,2008_국문보도자료(0809).pdf
9,보 도 자 료 년 월 일 공보 및 금융기관에 대한 여수신이율을 개정 하여 한국은행의 총액한도대출 금리를 인하하고 붙임 참조 부동산시장에서는 주택가격의 상승세는 제한되 고 있음,2008_국문보도자료(0810).pdf
10,공보 년 월 일 보 도 자 료 및 금융기관에 대한 여수신이율 을 개정 하여 한국은행의 기준금리를 하향조정하고 붙임 참조 금융시장에서는 기업의 자금조달 여건이 악화되고 있음,2008_국문보도자료(0811).pdf
11,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 및 한국은행 보도자료를 인터넷에 배포하는 것은 불법입니다 하여 을 방지하는 데 주안점이 될 것임 금융시장에서는,2008_국문보도자료(0812).pdf
12,보 도 자 료 년 월 일 공보 월 일,2009_국문보도자료(0901).pdf
13,년 월 일 공보 보 년 월 일부터 시행키로 하였음 붙임 참조,2009_국문보도자료(0902).pdf
14,년 월 일 공보 보 도 통화정책방향 까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 부동산시장에서는 거래 부진 현상이 지속되고 있음,2009_국문보도자료(0903).pdf
15,보 도 자 료 년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 통화정책방향 까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 통화정책은 당분간 완화기조를 유지해 나갈 것임 부동산시장에서는,2009_국문보도자료(0904).pdf
16,년 월 일 공보 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 통화정책방향 부동산시장에서는 가격이 반등하는 움직임을 나타내었음 는 가운데,2009_국문보도자료(0905).pdf
17,이자료는 배포시부터 취급하여 주시기 바랍니다 년 월 일 공보 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 통화정책방향 부동산가격은 소폭의 상승세를 보임 금융시장에서는 최근의 경기 및,2009_국문보도자료(0906).pdf
18,보 도 자 료 년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 통화정책방향 까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 부동산시장은 소폭의 상승세가 지속되었음 통화정책은 당분간 완화기조를 유지하는 데 주 안점을 두고 운용해 나갈 것임,2009_국문보도자료(0907).pdf
19,년 월 일 공보 배포시부터 취급하여 주시기 바랍니다 결정시까지 한국은행 기준금리를 현 수준에서 유지하기로 하였음 붙임 참조 통화정책방향 부동산가격은 계속 상승세가 지속되었음 통화정책은 당분간 완화기조를 유지해 나갈 것임 경기 및,2009_국문보도자료(0908).pdf
20,이자료는 배포시부터 취급하여 주시기 바랍니다 금융통화위원회는까지 한국은행 기준금리를 현 수준에서 유지 하여 통화정책을 운용하기로 하 부동산가격은 오름세를 지속하였음 금융시장에서 주택담보대출이 큰 폭의 증가 통화정책은 당분간 금융완화기조를 유지해 나갈 것임 앞으로 통화,2009_국문보도자료(0909).pdf
